"Prefix" "Species.name"
"ENSOPR" "Ochotona princeps (Pika)"
"ENSPVA" "Pteropus vampyrus (Megabat)"
"MGP_NZOHlLtJ_" "Mus musculus (Mouse NZO/HlLtJ)"
"ENSCSA" "Chlorocebus sabaeus (Vervet-AGM)"
"ENSTGU" "Taeniopygia guttata (Zebra Finch)"
"ENSSAR" "Sorex araneus (Shrew)"
"MGP_AKRJ_" "Mus musculus (Mouse AKR/J)"
"ENSSSC" "Sus scrofa (Pig)"
"ENSSCE" "Saccharomyces cerevisiae (Saccharomyces cerevisiae)"
"ENSPTR" "Pan troglodytes (Chimpanzee)"
"ENSFCA" "Felis catus (Cat)"
"ENSLOC" "Lepisosteus oculatus (Spotted gar)"
"ENSMLU" "Myotis lucifugus (Microbat)"
"ENSPCA" "Procavia capensis (Hyrax)"
"ENSAME" "Ailuropoda melanoleuca (Panda)"
"ENSCEL" "Caenorhabditis elegans (Caenorhabditis elegans)"
"ENSTRU" "Takifugu rubripes (Fugu)"
"ENSTNI" "Tetraodon nigroviridis (Tetraodon)"
"MGP_FVBNJ_" "Mus musculus (Mouse FVB/NJ)"
"ENSAPL" "Anas platyrhynchos (Duck)"
"ENSPFO" "Poecilia formosa (Amazon molly)"
"ENSONI" "Oreochromis niloticus (Tilapia)"
"ENSCAF" "Canis lupus familiaris (Dog)"
"ENSMEU" "Notamacropus eugenii (Wallaby)"
"ENSVPA" "Vicugna pacos (Alpaca)"
"ENSPAN" "Papio anubis (Olive baboon)"
"ENSMOD" "Monodelphis domestica (Opossum)"
"ENSCIN" "Ciona intestinalis"
"ENSXMA" "Xiphophorus maculatus (Platyfish)"
"ENSGMO" "Gadus morhua (Cod)"
"ENSMGA" "Meleagris gallopavo (Turkey)"
"ENSGAC" "Gasterosteus aculeatus (Stickleback)"
"ENSFAL" "Ficedula albicollis (Flycatcher)"
"ENSACA" "Anolis carolinensis (Anole lizard)"
"ENSPSI" "Pelodiscus sinensis (Chinese softshell turtle)"
"MGP_C3HHeJ_" "Mus musculus (Mouse C3H/HeJ)"
"MGP_PWKPhJ_" "Mus musculus musculus (Mouse PWK/PhJ)"
"MGP_C57BL6NJ_" "Mus musculus (Mouse C57BL/6NJ)"
"ENSCJA" "Callithrix jacchus (Marmoset)"
"ENSTTR" "Tursiops truncatus (Dolphin)"
"MGP_129S1SvImJ_" "Mus musculus (Mouse 129S1/SvImJ)"
"ENSETE" "Echinops telfairi (Lesser hedgehog tenrec)"
"ENSRNO" "Rattus norvegicus (Rat)"
"ENSMIC" "Microcebus murinus (Mouse Lemur)"
"MGP_LPJ_" "Mus musculus (Mouse LP/J)"
"ENSOAR" "Ovis aries (Sheep)"
"ENSBTA" "Bos taurus (Cow)"
"ENSOAN" "Ornithorhynchus anatinus (Platypus)"
"ENSCSAV" "Ciona savignyi"
"ENSAMX" "Astyanax mexicanus (Cave fish)"
"ENSEEU" "Erinaceus europaeus (Hedgehog)"
"ENSPMA" "Petromyzon marinus (Lamprey)"
"MGP_CASTEiJ_" "Mus musculus castaneus (Mouse CAST/EiJ)"
"ENSSHA" "Sarcophilus harrisii (Tasmanian devil)"
"ENSECA" "Equus caballus (Horse)"
"ENSXET" "Xenopus tropicalis (Xenopus)"
"ENSOGA" "Otolemur garnettii (Bushbaby)"
"ENSLAC" "Latimeria chalumnae (Coelacanth)"
"MGP_CBAJ_" "Mus musculus (Mouse CBA/J)"
"ENSNLE" "Nomascus leucogenys (Gibbon)"
"ENSDNO" "Dasypus novemcinctus (Armadillo)"
"MGP_WSBEiJ_" "Mus musculus domesticus (Mouse WSB/EiJ)"
"ENSTBE" "Tupaia belangeri (Tree Shrew)"
"MGP_AJ_" "Mus musculus (Mouse A/J)"
"ENSGGO" "Gorilla gorilla gorilla (Gorilla)"
"FB" "Drosophila melanogaster (Fruitfly)"
"ENSGAL" "Gallus gallus (Chicken)"
"ENSMPU" "Mustela putorius furo (Ferret)"
"ENSCPO" "Cavia porcellus (Guinea Pig)"
"ENSTSY" "Carlito syrichta (Tarsier)"
"ENSDAR" "Danio rerio (Zebrafish)"
"ENSMUS" "Mus musculus (Mouse)"
"ENSPPY" "Pongo abelii (Orangutan)"
"ENSLAF" "Loxodonta africana (Elephant)"
"ENSMMU" "Macaca mulatta (Macaque)"
"ENSSTO" "Ictidomys tridecemlineatus (Squirrel)"
"MGP_BALBcJ_" "Mus musculus (Mouse BALB/cJ)"
"ENSCHO" "Choloepus hoffmanni (Sloth)"
"MGP_DBA2J_" "Mus musculus (Mouse DBA/2J)"
"ENSDOR" "Dipodomys ordii (Kangaroo rat)"
"ENSOCU" "Oryctolagus cuniculus (Rabbit)"
"MGP_NODShiLtJ_" "Mus musculus (Mouse NOD/ShiLtJ)"
"ENSORL" "Oryzias latipes (Medaka)"
"ENS" "Homo sapiens (Human)"
"MGP_SPRETEiJ_" "Mus spretus (Mouse SPRET/EiJ)"
